2015-02-11 07:25:42, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Built-in/DigSig.acroplugin/Contents/MacOS/DigSig

2015-02-11 07:25:43, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Built-in/EScript.acroplugin/Contents/MacOS/EScript

2015-02-11 07:25:43, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Built-in/MakeAccessible.acroplugin/Contents/MacOS/MakeAccessible

2015-02-11 07:25:43, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Built-in/Multimedia.acroplugin/Contents/MacOS/Multimedia

2015-02-11 07:25:43, spooks.local, PE_file, yaramem, /System/Library/PrivateFrameworks/AccountPolicy.framework/XPCServices/com.apple.AccountPolicyHelper.xpc/Contents/MacOS/com.apple.AccountPolicyHelper, 185

2015-02-11 07:25:43, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Built-in/PPKLite.acroplugin/Contents/MacOS/PPKLite

2015-02-11 07:25:43, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Built-in/PPKLite.acroplugin/Contents/Resources/en.lproj/Primary.zbin

2015-02-11 07:25:44, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Built-in/SaveAsRTF.acroplugin/Contents/MacOS/SaveAsRTF

2015-02-11 07:25:44, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Built-in/Search.acroplugin/Contents/MacOS/Search

2015-02-11 07:25:44, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Built-in/SendMail.acroplugin/Contents/MacOS/SendMail

2015-02-11 07:25:44, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Built-in/Spelling.acroplugin/Contents/MacOS/Spelling

2015-02-11 07:25:45, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Frameworks/Acrobat.framework/Acrobat

2015-02-11 07:25:46, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Frameworks/AcroExt Helper EH.app/Contents/MacOS/AcroExt Helper EH

2015-02-11 07:25:46, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Frameworks/AcroExt Helper NP.app/Contents/MacOS/AcroExt Helper NP

2015-02-11 07:25:46, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Frameworks/AcroExt helper.app/Contents/MacOS/AcroExt Helper

2015-02-11 07:25:46, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Frameworks/Adobe3D.framework/Versions/A/Frameworks/Adobe2D.x3d/Adobe2D

2015-02-11 07:25:46, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Frameworks/Adobe3D.framework/Versions/A/Frameworks/Adobe2D.x3d/Versions/A/Adobe2D

2015-02-11 07:25:46, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Frameworks/Adobe3D.framework/Versions/A/Frameworks/AdobePRC.x3d/AdobePRC

2015-02-11 07:25:46, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Frameworks/Adobe3D.framework/Versions/A/Frameworks/AdobePRC.x3d/Versions/A/AdobePRC

2015-02-11 07:25:47, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Frameworks/AdobeACE.framework/AdobeACE

2015-02-11 07:25:47, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Frameworks/AdobeACE.framework/Versions/A/AdobeACE

2015-02-11 07:25:47, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Frameworks/AdobeAGM.framework/AdobeAGM

2015-02-11 07:25:47, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Frameworks/AdobeAGM.framework/Versions/A/AdobeAGM

2015-02-11 07:25:47, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Frameworks/AdobeAXE8SharedExpat.framework/AdobeAXE8SharedExpat

2015-02-11 07:25:47, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Frameworks/AdobeAXE8SharedExpat.framework/Versions/A/AdobeAXE8SharedExpat

2015-02-11 07:25:47, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Frameworks/AdobeExtendScript.framework/AdobeExtendScript

2015-02-11 07:25:48, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Frameworks/AdobeExtendScript.framework/Versions/A/AdobeExtendScript

2015-02-11 07:25:48, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Frameworks/AdobeJP2K.framework/AdobeJP2K

